step,elapsed_sec,sec_per_step,lr,loss
324,2936,9.06,1.0e-04,1.397e-01
325,2945,9.06,1.0e-04,2.542e-01
326,2954,9.06,1.0e-04,4.111e-01
327,2963,9.06,1.0e-04,1.506e-01
328,2972,9.06,1.0e-04,4.483e-01
329,2981,9.06,1.0e-04,2.122e-01
330,2990,9.06,1.0e-04,2.229e-01
331,2999,9.06,1.0e-04,3.918e-01
332,3008,9.06,1.0e-04,3.302e-01
333,3017,9.06,1.0e-04,2.422e-01
334,3026,9.06,1.0e-04,3.729e-01
335,3035,9.06,1.0e-04,2.117e-01
336,3043,9.06,1.0e-04,2.130e-01
337,3052,9.06,1.0e-04,4.185e-01
338,3062,9.06,1.0e-04,1.769e-01
339,3071,9.06,1.0e-04,1.364e-01
340,3080,9.06,1.0e-04,1.534e-01
341,3089,9.06,1.0e-04,3.571e-01
342,3098,9.06,1.0e-04,4.198e-01
343,3107,9.06,1.0e-04,2.809e-01
344,3116,9.06,1.0e-04,1.417e-01
345,3125,9.06,1.0e-04,2.957e-01
346,3134,9.06,1.0e-04,4.258e-01
347,3143,9.06,1.0e-04,2.901e-01
348,3151,9.06,1.0e-04,3.476e-01
349,3160,9.06,1.0e-04,4.016e-01
350,3168,9.05,1.0e-04,3.472e-01
351,3177,9.05,1.0e-04,2.660e-01
352,3186,9.05,1.0e-04,5.007e-01
353,3195,9.05,1.0e-04,2.001e-01
354,3204,9.05,1.0e-04,2.331e-01
355,3213,9.05,1.0e-04,1.741e-01
356,3223,9.05,1.0e-04,2.147e-01
357,3231,9.05,1.0e-04,3.256e-01
358,3240,9.05,1.0e-04,3.876e-01
359,3249,9.05,1.0e-04,3.728e-01
360,3258,9.05,1.0e-04,1.540e-01
361,3267,9.05,1.0e-04,2.966e-01
362,3276,9.05,1.0e-04,2.385e-01
363,3284,9.05,1.0e-04,1.472e-01
364,3293,9.05,1.0e-04,2.526e-01
365,3302,9.05,1.0e-04,2.347e-01
366,3312,9.05,1.0e-04,2.735e-01
367,3321,9.05,1.0e-04,3.740e-01
368,3329,9.05,1.0e-04,3.027e-01
369,3338,9.05,1.0e-04,2.333e-01
370,3347,9.05,1.0e-04,4.273e-01
371,3356,9.05,1.0e-04,3.977e-01
372,3365,9.05,1.0e-04,2.630e-01
373,3374,9.05,1.0e-04,2.894e-01
374,3383,9.05,1.0e-04,4.467e-01
375,3392,9.05,1.0e-04,1.635e-01
376,3400,9.04,1.0e-04,3.898e-01
377,3409,9.04,1.0e-04,2.727e-01
378,3418,9.04,1.0e-04,1.818e-01
379,3427,9.04,1.0e-04,1.640e-01
380,3436,9.04,1.0e-04,2.053e-01
381,3445,9.04,1.0e-04,2.670e-01
382,3454,9.04,1.0e-04,2.692e-01
383,3463,9.04,1.0e-04,1.472e-01
384,3471,9.04,1.0e-04,2.843e-01
385,3480,9.04,1.0e-04,1.666e-01
386,3489,9.04,1.0e-04,2.253e-01
387,3498,9.04,1.0e-04,3.209e-01
388,3507,9.04,1.0e-04,1.677e-01
389,3516,9.04,1.0e-04,3.328e-01
390,3526,9.04,1.0e-04,4.252e-01
391,3534,9.04,1.0e-04,4.002e-01
392,3543,9.04,1.0e-04,1.802e-01
393,3552,9.04,1.0e-04,3.133e-01
394,3561,9.04,1.0e-04,2.330e-01
395,3570,9.04,1.0e-04,1.839e-01
396,3579,9.04,1.0e-04,3.148e-01
397,3588,9.04,1.0e-04,4.275e-01
398,3597,9.04,1.0e-04,2.724e-01
399,3605,9.04,1.0e-04,3.230e-01
400,3615,9.04,1.0e-04,2.026e-01
401,3624,9.04,1.0e-04,2.204e-01
402,3632,9.04,1.0e-04,3.069e-01
403,3642,9.04,1.0e-04,3.316e-01
404,3651,9.04,1.0e-04,4.091e-01
405,3660,9.04,1.0e-04,1.804e-01
406,3669,9.04,1.0e-04,3.034e-01
407,3679,9.04,1.0e-04,2.961e-01
408,3688,9.04,1.0e-04,2.133e-01
409,3698,9.04,1.0e-04,1.759e-01
410,3707,9.04,1.0e-04,1.578e-01
411,3716,9.04,1.0e-04,3.028e-01
412,3726,9.05,1.0e-04,3.193e-01
413,3735,9.05,1.0e-04,1.825e-01
414,3744,9.04,1.0e-04,1.792e-01
415,3753,9.05,1.0e-04,3.733e-01
416,3762,9.04,1.0e-04,1.972e-01
417,3771,9.04,1.0e-04,2.451e-01
418,3780,9.04,1.0e-04,3.669e-01
419,3789,9.04,1.0e-04,3.853e-01
420,3798,9.04,1.0e-04,4.038e-01
421,3807,9.04,1.0e-04,1.483e-01
422,3817,9.05,1.0e-04,1.346e-01
423,3827,9.05,1.0e-04,1.461e-01
424,3836,9.05,1.0e-04,1.929e-01
425,3845,9.05,1.0e-04,2.798e-01
426,3853,9.05,1.0e-04,2.859e-01
427,3863,9.05,1.0e-04,3.202e-01
428,3871,9.05,1.0e-04,1.493e-01
429,3880,9.05,1.0e-04,3.009e-01
430,3889,9.05,1.0e-04,3.316e-01
431,3898,9.04,1.0e-04,3.301e-01
432,3906,9.04,1.0e-04,2.046e-01
433,3915,9.04,1.0e-04,1.502e-01
434,3924,9.04,1.0e-04,4.473e-01
435,3933,9.04,1.0e-04,1.083e-01
436,3942,9.04,1.0e-04,1.651e-01
437,3951,9.04,1.0e-04,1.316e-01
438,3961,9.04,1.0e-04,1.466e-01
439,3970,9.04,1.0e-04,3.392e-01
440,3978,9.04,1.0e-04,2.054e-01
441,3988,9.04,1.0e-04,1.388e-01
442,3996,9.04,1.0e-04,3.656e-01
443,4005,9.04,1.0e-04,1.993e-01
444,4014,9.04,1.0e-04,3.988e-01
445,4023,9.04,1.0e-04,4.218e-01
446,4032,9.04,1.0e-04,1.757e-01
447,4041,9.04,1.0e-04,2.227e-01
448,4050,9.04,1.0e-04,3.012e-01
449,4058,9.04,1.0e-04,3.849e-01
450,4067,9.04,1.0e-04,3.830e-01
451,4076,9.04,1.0e-04,2.748e-01
452,4084,9.04,1.0e-04,3.036e-01
453,4094,9.04,1.0e-04,2.338e-01
454,4103,9.04,1.0e-04,2.023e-01
455,4112,9.04,1.0e-04,2.584e-01
456,4121,9.04,1.0e-04,1.514e-01
457,4130,9.04,1.0e-04,2.219e-01
458,4138,9.04,1.0e-04,2.021e-01
459,4147,9.04,1.0e-04,2.796e-01
460,4156,9.04,1.0e-04,2.549e-01
461,4166,9.04,1.0e-04,3.078e-01
462,4174,9.04,1.0e-04,3.200e-01
463,4184,9.04,1.0e-04,1.604e-01
464,4192,9.04,1.0e-04,2.965e-01
465,4201,9.04,1.0e-04,3.150e-01
466,4211,9.04,1.0e-04,1.334e-01
467,4220,9.04,1.0e-04,2.343e-01
468,4229,9.04,1.0e-04,3.009e-01
469,4238,9.04,1.0e-04,4.101e-01
470,4247,9.04,1.0e-04,1.652e-01
471,4256,9.04,1.0e-04,2.497e-01
472,4265,9.04,1.0e-04,1.412e-01
473,4274,9.04,1.0e-04,1.248e-01
474,4283,9.04,1.0e-04,4.071e-01
475,4292,9.04,1.0e-04,2.643e-01
476,4301,9.04,1.0e-04,2.851e-01
477,4310,9.04,1.0e-04,1.783e-01
478,4319,9.04,1.0e-04,3.073e-01
479,4328,9.04,1.0e-04,2.947e-01
480,4337,9.04,1.0e-04,2.375e-01
481,4346,9.04,1.0e-04,3.527e-01
482,4355,9.04,1.0e-04,3.135e-01
483,4364,9.04,1.0e-04,3.010e-01
484,4373,9.04,1.0e-04,2.832e-01
485,4382,9.04,1.0e-04,2.634e-01
486,4391,9.04,1.0e-04,1.290e-01
487,4399,9.03,1.0e-04,3.380e-01
488,4409,9.04,1.0e-04,4.514e-01
489,4418,9.04,1.0e-04,1.634e-01
490,4426,9.03,1.0e-04,2.585e-01
491,4435,9.03,1.0e-04,3.294e-01
492,4444,9.03,1.0e-04,1.467e-01
493,4453,9.03,1.0e-04,1.392e-01
494,4462,9.03,1.0e-04,1.463e-01
495,4471,9.03,1.0e-04,2.612e-01
496,4480,9.03,1.0e-04,3.246e-01
497,4489,9.03,1.0e-04,1.399e-01
498,4498,9.03,1.0e-04,1.258e-01
499,4507,9.03,1.0e-04,1.313e-01
500,4516,9.03,1.0e-04,1.719e-01
501,4525,9.03,1.0e-04,3.333e-01
502,4534,9.03,1.0e-04,4.483e-01
503,4543,9.03,1.0e-04,3.268e-01
504,4553,9.03,1.0e-04,3.392e-01
505,4562,9.03,1.0e-04,2.274e-01
506,4571,9.03,1.0e-04,1.615e-01
507,4580,9.03,1.0e-04,3.142e-01
508,4590,9.04,1.0e-04,1.348e-01
509,4598,9.04,1.0e-04,3.046e-01
510,4608,9.04,1.0e-04,1.742e-01
511,4617,9.04,1.0e-04,3.375e-01
512,4626,9.04,1.0e-04,1.749e-01
513,4636,9.04,1.0e-04,2.340e-01
514,4645,9.04,1.0e-04,4.681e-01
515,4654,9.04,1.0e-04,3.406e-01
516,4663,9.04,1.0e-04,3.889e-01
517,4672,9.04,1.0e-04,4.850e-01
518,4681,9.04,1.0e-04,1.254e-01
519,4690,9.04,1.0e-04,2.727e-01
520,4699,9.04,1.0e-04,1.517e-01
521,4708,9.04,1.0e-04,2.265e-01
522,4718,9.04,1.0e-04,2.263e-01
523,4727,9.04,1.0e-04,1.639e-01
524,4736,9.04,1.0e-04,1.550e-01
525,4745,9.04,1.0e-04,3.600e-01
526,4753,9.04,1.0e-04,2.077e-01
527,4762,9.04,1.0e-04,2.672e-01
528,4772,9.04,1.0e-04,3.133e-01
529,4781,9.04,1.0e-04,1.389e-01
530,4790,9.04,1.0e-04,2.218e-01
531,4799,9.04,1.0e-04,4.170e-01
532,4808,9.04,1.0e-04,2.910e-01
533,4817,9.04,1.0e-04,3.270e-01
534,4826,9.04,1.0e-04,3.885e-01
535,4835,9.04,1.0e-04,1.703e-01
536,4844,9.04,1.0e-04,3.080e-01
537,4853,9.04,1.0e-04,3.773e-01
538,4862,9.04,1.0e-04,1.951e-01
539,4871,9.04,1.0e-04,1.985e-01
540,4880,9.04,1.0e-04,2.858e-01
541,4889,9.04,1.0e-04,3.953e-01
542,4898,9.04,1.0e-04,1.745e-01
543,4907,9.04,1.0e-04,2.745e-01
544,4916,9.04,1.0e-04,2.574e-01
545,4925,9.04,1.0e-04,2.882e-01
546,4934,9.04,1.0e-04,2.343e-01
547,4943,9.04,1.0e-04,1.990e-01
548,4952,9.04,1.0e-04,2.625e-01
549,4961,9.04,1.0e-04,3.811e-01
550,4970,9.04,1.0e-04,1.630e-01
551,4979,9.04,1.0e-04,1.764e-01
552,4988,9.04,1.0e-04,3.585e-01
553,4997,9.04,1.0e-04,1.324e-01
554,5006,9.04,1.0e-04,2.429e-01
555,5016,9.04,1.0e-04,1.331e-01
556,5025,9.04,1.0e-04,1.507e-01
557,5033,9.04,1.0e-04,3.245e-01
558,5042,9.04,1.0e-04,3.843e-01
559,5051,9.04,1.0e-04,3.596e-01
560,5061,9.04,1.0e-04,3.532e-01
561,5070,9.04,1.0e-04,2.952e-01
562,5079,9.04,1.0e-04,2.073e-01
563,5088,9.04,1.0e-04,4.145e-01
564,5097,9.04,1.0e-04,3.096e-01
565,5106,9.04,1.0e-04,3.919e-01
566,5115,9.04,1.0e-04,2.543e-01
567,5125,9.04,1.0e-04,2.772e-01
568,5134,9.04,1.0e-04,1.948e-01
569,5143,9.04,1.0e-04,3.626e-01
570,5153,9.04,1.0e-04,3.441e-01
571,5162,9.04,1.0e-04,2.818e-01
572,5171,9.04,1.0e-04,2.311e-01
573,5180,9.04,1.0e-04,3.633e-01
574,5189,9.04,1.0e-04,1.547e-01
575,5198,9.04,1.0e-04,2.085e-01
576,5207,9.04,1.0e-04,1.842e-01
577,5216,9.04,1.0e-04,2.706e-01
578,5225,9.04,1.0e-04,2.445e-01
579,5234,9.04,1.0e-04,3.031e-01
580,5243,9.04,1.0e-04,3.218e-01
581,5253,9.04,1.0e-04,2.441e-01
582,5262,9.04,1.0e-04,1.048e-01
583,5271,9.04,1.0e-04,3.276e-01
584,5280,9.04,1.0e-04,2.296e-01
585,5289,9.04,1.0e-04,1.772e-01
586,5298,9.04,1.0e-04,2.755e-01
587,5307,9.04,1.0e-04,2.444e-01
588,5317,9.04,1.0e-04,2.290e-01
589,5326,9.04,1.0e-04,1.777e-01
590,5335,9.04,1.0e-04,3.161e-01
591,5344,9.04,1.0e-04,2.286e-01
592,5353,9.04,1.0e-04,3.485e-01
593,5362,9.04,1.0e-04,2.773e-01
594,5371,9.04,1.0e-04,1.914e-01
595,5380,9.04,1.0e-04,1.841e-01
596,5390,9.04,1.0e-04,1.756e-01
597,5399,9.04,1.0e-04,3.785e-01
598,5408,9.04,1.0e-04,4.030e-01
599,5417,9.04,1.0e-04,1.291e-01
600,5426,9.04,1.0e-04,2.327e-01
601,5435,9.04,1.0e-04,2.918e-01
602,5444,9.04,1.0e-04,4.342e-01
603,5453,9.04,1.0e-04,2.102e-01
604,5462,9.04,1.0e-04,3.395e-01
605,5471,9.04,1.0e-04,2.887e-01
606,5480,9.04,1.0e-04,1.612e-01
607,5489,9.04,1.0e-04,3.441e-01
608,5498,9.04,1.0e-04,1.689e-01
609,5506,9.04,1.0e-04,2.717e-01
